Customer ID,Satisfaction Score,Customer Status,Churn Value,Churn Category,Churn Reason
2050-ONYDQ,3,Stayed,0,,
6128-AQBMT,3,Stayed,0,,
7718-UPSKJ,4,Stayed,0,,
0295-PPHDO,1,Churned,1,Competitor,Competitor had better devices
8709-KRDVL,5,Stayed,0,,
3898-BSJYF,3,Stayed,0,,
2545-EBUPK,3,Joined,0,,
9734-YWGEX,2,Churned,1,Price,Price too high
0481-SUMCB,4,Stayed,0,,
7617-EYGLW,3,Joined,0,,
8610-ZIKJJ,3,Joined,0,,
2235-EZAIK,4,Stayed,0,,
7898-PDWQE,3,Stayed,0,,
5448-VWNAM,4,Stayed,0,,
6963-KQYQB,5,Stayed,0,,
7921-LMDFQ,4,Stayed,0,,
8439-LTUGF,4,Stayed,0,,
0787-LHDYT,3,Stayed,0,,
4702-IOQDC,3,Churned,1,Competitor,Competitor offered higher download speeds
6693-DJWTY,3,Stayed,0,,
4289-DTDKW,1,Churned,1,Competitor,Competitor had better devices
1084-MNSMJ,3,Stayed,0,,
2834-JRTUA,1,Churned,1,Competitor,Competitor had better devices
4829-AUOAX,2,Churned,1,Price,Extra data charges
1442-BQPVU,4,Stayed,0,,
0655-RBDUG,1,Churned,1,Competitor,Competitor had better devices
3489-VSFRD,4,Stayed,0,,
4973-MGTON,5,Stayed,0,,
8319-QBEHW,4,Stayed,0,,
3407-JMJQQ,3,Stayed,0,,
6961-VCPMC,3,Churned,1,Competitor,Competitor offered more data
1000-AJSLD,1,Churned,1,Competitor,Competitor made better offer
2525-GVKQU,3,Stayed,0,,
6963-EZQEE,3,Stayed,0,,
2372-HWUHI,3,Churned,1,Other,Don't know
1304-NECVQ,2,Churned,1,Competitor,Competitor made better offer
1564-NTYXF,2,Churned,1,Attitude,Attitude of support person
3370-HXOPH,4,Joined,0,,
9095-HFAFX,2,Churned,1,Competitor,Competitor made better offer
2885-HIJDH,3,Stayed,0,,
1140-UKVZG,5,Stayed,0,,
6416-JNVRK,5,Stayed,0,,
1746-TGTWV,5,Joined,0,,
7434-SHXLS,3,Churned,1,Competitor,Competitor made better offer
4597-NUCQV,3,Churned,1,Attitude,Attitude of support person
5360-XGYAZ,3,Stayed,0,,
3162-KKZXO,4,Stayed,0,,
3605-JISKB,4,Stayed,0,,
4803-LBYPN,3,Stayed,0,,
2335-GSODA,4,Stayed,0,,
1262-OPMFY,3,Churned,1,Competitor,Competitor made better offer
1766-GKNMI,3,Stayed,0,,
5054-IEXZT,3,Churned,1,Competitor,Competitor made better offer
9101-BWFSS,2,Churned,1,Other,Moved
1205-WNWPJ,3,Churned,1,Other,Moved
6646-QVXLR,1,Churned,1,Competitor,Competitor had better devices
5380-WJKOV,2,Churned,1,Competitor,Competitor offered higher download speeds
1254-IZEYF,3,Churned,1,Competitor,Competitor made better offer
6347-DCUIK,1,Churned,1,Attitude,Attitude of support person
9127-QRZMH,3,Stayed,0,,
5642-MHDQT,3,Stayed,0,,
8454-AATJP,3,Stayed,0,,
8234-GSZYK,4,Stayed,0,,
4846-WHAFZ,2,Churned,1,Price,Extra data charges
9710-NJERN,3,Stayed,0,,
0907-HQNTS,3,Stayed,0,,
1167-OYZJF,5,Stayed,0,,
1628-BIZYP,4,Joined,0,,
6330-JKLPC,1,Churned,1,Dissatisfaction,Product dissatisfaction
3694-DELSO,4,Stayed,0,,
5442-BXVND,5,Stayed,0,,
0258-NOKBL,5,Joined,0,,
1301-LOPVR,3,Stayed,0,,
7927-AUXBZ,2,Churned,1,Attitude,Attitude of support person
4718-WXBGI,4,Stayed,0,,
2656-TABEH,2,Churned,1,Dissatisfaction,Service dissatisfaction
6323-AYBRX,3,Churned,1,Price,Price too high
4361-BKAXE,1,Churned,1,Competitor,Competitor made better offer
5872-OEQNH,4,Stayed,0,,
6778-EICRF,4,Stayed,0,,
8270-RKSAP,3,Stayed,0,,
4676-MQUEA,3,Stayed,0,,
1465-VINDH,3,Churned,1,Competitor,Competitor offered higher download speeds
3160-TYXLT,3,Stayed,0,,
0017-IUDMW,3,Stayed,0,,
8075-GXIUB,3,Stayed,0,,
5843-TTHGI,5,Stayed,0,,
6818-DJXAA,3,Stayed,0,,
1080-BWSYE,5,Stayed,0,,
7284-ZZLOH,3,Stayed,0,,
1395-WSWXR,3,Stayed,0,,
9578-FOMUK,3,Stayed,0,,
9374-YOLBJ,4,Joined,0,,
9323-HGFWY,3,Stayed,0,,
0870-VEMYL,1,Churned,1,Competitor,Competitor offered higher download speeds
6374-AFWOX,4,Stayed,0,,
2187-LZGPL,2,Churned,1,Attitude,Attitude of service provider
8201-AAXCB,4,Stayed,0,,
6839-ITVZJ,2,Churned,1,Other,Don't know
7190-XHTWJ,5,Stayed,0,,
4146-SVFUD,4,Joined,0,,
1423-BMPBQ,4,Joined,0,,
1241-FPMOF,4,Stayed,0,,
5018-HEKFO,3,Stayed,0,,
7932-WPTDS,1,Churned,1,Competitor,Competitor made better offer
5692-FPTAH,2,Churned,1,Dissatisfaction,Network reliability
4957-TREIR,4,Joined,0,,
9490-DFPMD,2,Churned,1,Competitor,Competitor made better offer
4195-SMMNX,2,Churned,1,Attitude,Attitude of support person
0928-XUTSN,4,Stayed,0,,
6982-UQZLY,3,Churned,1,Attitude,Attitude of support person
7526-BEZQB,1,Churned,1,Attitude,Attitude of support person
2804-ETQDK,4,Stayed,0,,
8058-JMEQO,3,Churned,1,Competitor,Competitor made better offer
4325-NFSKC,1,Churned,1,Price,Extra data charges
7627-JKIAZ,3,Churned,1,Competitor,Competitor offered higher download speeds
8361-LTMKD,2,Churned,1,Competitor,Competitor made better offer
2379-GYFLQ,4,Stayed,0,,
9489-DEDVP,3,Stayed,0,,
3055-MJDSB,5,Stayed,0,,
6633-SYEUS,3,Stayed,0,,
5233-AOZUF,5,Stayed,0,,
1541-ETJZO,2,Churned,1,Other,Moved
2851-MMUTZ,3,Stayed,0,,
3132-TVFDZ,2,Churned,1,Attitude,Attitude of support person
9067-SQTNS,5,Stayed,0,,
9814-AOUDH,5,Stayed,0,,
7147-AYBAA,3,Stayed,0,,
0282-NVSJS,4,Stayed,0,,
0052-YNYOT,5,Stayed,0,,
5424-RLQLC,3,Stayed,0,,
7103-IPXPJ,4,Stayed,0,,
6397-JNZZG,1,Churned,1,Competitor,Competitor had better devices
3967-KXAPS,4,Stayed,0,,
6377-WHAOX,3,Stayed,0,,
7217-JYHOQ,3,Stayed,0,,
5170-PTRKA,4,Stayed,0,,
8433-WPJTV,3,Stayed,0,,
6583-SZVGP,4,Stayed,0,,
7909-FIOIY,5,Stayed,0,,
5092-STPKP,4,Stayed,0,,
6383-ZTSIW,3,Stayed,0,,
0643-OKLRP,1,Churned,1,Dissatisfaction,Network reliability
2959-EEXWB,3,Stayed,0,,
9154-QDGTH,5,Stayed,0,,
9822-WMWVG,4,Stayed,0,,
1925-GMVBW,3,Stayed,0,,
6994-ORCWG,5,Stayed,0,,
8963-MQVYN,3,Stayed,0,,
2971-SGAFL,4,Stayed,0,,
6181-AXXYF,4,Stayed,0,,
0952-KMEEH,1,Churned,1,Price,Long distance charges
2834-JKOOW,3,Stayed,0,,
7964-YESJC,3,Stayed,0,,
4829-ZLJTK,3,Stayed,0,,
4020-KIUDI,5,Stayed,0,,
8859-DZTGQ,3,Stayed,0,,
2990-HWIML,1,Churned,1,Competitor,Competitor had better devices
9798-OPFEM,5,Stayed,0,,
7758-UJWYS,5,Stayed,0,,
7181-OQCUT,3,Stayed,0,,
8760-ZRHKE,4,Stayed,0,,
6688-UZPWD,1,Churned,1,Competitor,Competitor offered more data
2324-EFHVG,4,Stayed,0,,
2661-GKBTK,4,Stayed,0,,
8084-OIVBS,4,Stayed,0,,
0730-KOAVE,3,Stayed,0,,
4892-VLANZ,3,Churned,1,Price,Long distance charges
2560-WBWXF,4,Stayed,0,,
2616-FLVQC,3,Stayed,0,,
0225-ZORZP,5,Joined,0,,
5834-ASPWA,3,Churned,1,Competitor,Competitor made better offer
0970-ETWGE,2,Churned,1,Competitor,Competitor had better devices
1834-WULEG,4,Stayed,0,,
5815-HGGHV,4,Stayed,0,,
3751-KTZEL,1,Churned,1,Competitor,Competitor offered higher download speeds
7054-ENNGU,4,Stayed,0,,
6032-KRXXO,2,Churned,1,Competitor,Competitor made better offer
2957-JIRMN,4,Stayed,0,,
8190-ZTQFB,5,Stayed,0,,
6734-JDTTV,3,Stayed,0,,
1689-MRZQR,3,Churned,1,Other,Don't know
2400-XIWIO,3,Stayed,0,,
5727-MYATE,4,Stayed,0,,
5811-IWXYM,5,Stayed,0,,
7691-KGKGP,3,Stayed,0,,
5003-OKNNK,3,Stayed,0,,
5089-IFSDP,1,Churned,1,Dissatisfaction,Product dissatisfaction
3211-AAPKX,3,Stayed,0,,
5295-PCJOO,1,Churned,1,Other,Don't know
6040-CGACY,5,Stayed,0,,
3014-WJKSM,4,Stayed,0,,
1041-RXHRA,3,Churned,1,Attitude,Attitude of support person
7134-MJPDY,3,Stayed,0,,
6029-WTIPC,1,Churned,1,Competitor,Competitor made better offer
0322-YINQP,1,Churned,1,Attitude,Attitude of support person
0422-OHQHQ,5,Stayed,0,,
5609-CEBID,1,Churned,1,Competitor,Competitor had better devices
3012-VFFMN,3,Stayed,0,,
5371-VYLSX,3,Stayed,0,,
0519-XUZJU,2,Churned,1,Dissatisfaction,Service dissatisfaction
0278-YXOOG,3,Churned,1,Attitude,Attitude of support person
3896-RCYYE,5,Stayed,0,,
3580-HYCSP,3,Stayed,0,,
9600-UDOPK,3,Churned,1,Attitude,Attitude of support person
0732-OCQOC,4,Stayed,0,,
0744-GKNGE,3,Stayed,0,,
9432-RUVSL,3,Stayed,0,,
7781-EWARA,3,Stayed,0,,
3705-PSNGL,3,Churned,1,Price,Long distance charges
4999-IEZLT,3,Stayed,0,,
3096-GKWEB,4,Stayed,0,,
9689-PTNPG,1,Churned,1,Competitor,Competitor made better offer
1635-FJFCC,5,Stayed,0,,
5647-URDKA,4,Stayed,0,,
5256-SKJGO,4,Stayed,0,,
3318-ISQFQ,3,Stayed,0,,
6169-PGNCD,4,Stayed,0,,
3420-YJLQT,4,Joined,0,,
2072-ZVJJX,3,Stayed,0,,
3487-EARAT,3,Stayed,0,,
3696-XRIEN,4,Stayed,0,,
3577-AMVUX,4,Joined,0,,
4285-GYRQC,2,Churned,1,Attitude,Attitude of support person
3945-GFWQL,3,Churned,1,Price,Extra data charges
1228-FZFRV,1,Churned,1,Price,Extra data charges
9975-SKRNR,4,Joined,0,,
4933-IKULF,4,Stayed,0,,
9102-IAYHT,3,Churned,1,Attitude,Attitude of support person
8023-QHAIO,3,Stayed,0,,
1626-ERCMM,1,Churned,1,Competitor,Competitor had better devices
2782-LFZVW,4,Stayed,0,,
8051-HJRLT,3,Churned,1,Attitude,Attitude of service provider
4840-ORQXB,3,Stayed,0,,
6023-YEBUP,1,Churned,1,Competitor,Competitor had better devices
3082-WQRVY,5,Stayed,0,,
6479-OAUSD,3,Stayed,0,,
0136-IFMYD,5,Stayed,0,,
1371-WEPDS,3,Stayed,0,,
3426-NIYYL,2,Churned,1,Attitude,Attitude of support person
1226-IENZN,4,Stayed,0,,
4526-RMTLL,4,Stayed,0,,
4484-CGXFK,1,Churned,1,Dissatisfaction,Product dissatisfaction
8819-WFGGJ,3,Stayed,0,,
5440-VHLUL,3,Stayed,0,,
4993-JCRGJ,5,Stayed,0,,
2612-PHGOX,4,Stayed,0,,
4825-FUREZ,5,Stayed,0,,
3797-VTIDR,2,Churned,1,Price,Price too high
7315-WYOAW,3,Stayed,0,,
5515-IDEJJ,1,Churned,1,Competitor,Competitor made better offer
2697-NQBPF,3,Stayed,0,,
7018-WBJNK,3,Stayed,0,,
7173-TETGO,3,Stayed,0,,
6726-NNFWD,4,Stayed,0,,
6135-OZQVA,4,Stayed,0,,
8639-NHQEI,3,Stayed,0,,
2788-CJQAQ,5,Stayed,0,,
6621-YOBKI,4,Stayed,0,,
5138-WVKYJ,1,Churned,1,Competitor,Competitor made better offer
5542-TBBWB,4,Joined,0,,
5206-XZZQI,4,Stayed,0,,
7317-GGVPB,1,Churned,1,Dissatisfaction,Product dissatisfaction
1660-HSOOQ,3,Churned,1,Dissatisfaction,Lack of self-service on Website
0266-CLZKZ,5,Stayed,0,,
4565-EVZMJ,4,Stayed,0,,
2832-KJCRD,5,Stayed,0,,
3084-DOWLE,3,Stayed,0,,
1934-SJVJK,2,Churned,1,Price,Long distance charges
7233-DRTRF,4,Stayed,0,,
7277-KAMWT,3,Stayed,0,,
5049-MUBWG,3,Stayed,0,,
1125-SNVCK,5,Stayed,0,,
1230-QAJDW,5,Joined,0,,
0508-OOLTO,3,Joined,0,,
5299-SJCZT,3,Churned,1,Dissatisfaction,Network reliability
5061-PBXFW,3,Stayed,0,,
0328-GRPMV,1,Churned,1,Competitor,Competitor had better devices
9003-CPATH,4,Stayed,0,,
2055-SIFSS,3,Stayed,0,,
6447-EGDIV,4,Stayed,0,,
2274-XUATA,3,Stayed,0,,
6486-LHTMA,3,Stayed,0,,
4510-HIMLV,2,Churned,1,Dissatisfaction,Network reliability
0151-ONTOV,1,Churned,1,Competitor,Competitor had better devices
2294-DMMUS,5,Stayed,0,,
1240-HCBOH,3,Stayed,0,,
1640-PLFMP,4,Joined,0,,
1697-BCSHV,5,Stayed,0,,
5915-ANOEI,4,Stayed,0,,
8932-CZHRQ,4,Stayed,0,,
3400-ESFUW,1,Churned,1,Competitor,Competitor offered more data
1760-CAZHT,5,Stayed,0,,
5707-ZMDJP,4,Stayed,0,,
5989-AXPUC,4,Stayed,0,,
5879-HMFFH,4,Stayed,0,,
7164-BPTUT,4,Stayed,0,,
6100-FJZDG,5,Stayed,0,,
6629-CZTTH,1,Churned,1,Dissatisfaction,Product dissatisfaction
0531-ZZJWQ,5,Stayed,0,,
2195-VVRJF,3,Stayed,0,,
2075-RMJIK,4,Stayed,0,,
4116-IQRFR,3,Stayed,0,,
4373-VVHQL,4,Joined,0,,
4837-PZTIC,3,Stayed,0,,
2506-TNFCO,2,Churned,1,Dissatisfaction,Network reliability
9424-CMPOG,3,Stayed,0,,
6556-DBKZF,5,Stayed,0,,
7162-WPHPM,4,Stayed,0,,
5321-NTRKC,5,Stayed,0,,
4707-MAXGU,5,Stayed,0,,
3211-ILJTT,1,Churned,1,Competitor,Competitor had better devices
2250-IVBWA,3,Stayed,0,,
0895-UADGO,3,Stayed,0,,
5778-BVOFB,5,Stayed,0,,
5730-DBDSI,3,Stayed,0,,
2782-JEEBU,4,Stayed,0,,
2371-KFUOG,3,Stayed,0,,
4468-YDOVK,5,Stayed,0,,
2000-MPKCA,3,Stayed,0,,
0817-HSUSE,5,Joined,0,,
7439-DKZTW,4,Joined,0,,
7579-OOPEC,1,Churned,1,Competitor,Competitor had better devices
3512-IZIKN,1,Churned,1,Dissatisfaction,Product dissatisfaction
2656-FMOKZ,2,Churned,1,Dissatisfaction,Limited range of services
5143-WMWOG,2,Churned,1,Attitude,Attitude of support person
6075-SLNIL,3,Stayed,0,,
0750-EKNGL,5,Stayed,0,,
2576-HXMPA,4,Joined,0,,
0487-RPVUM,4,Stayed,0,,
0682-USIXD,3,Stayed,0,,
2403-BCASL,2,Churned,1,Other,Don't know
5317-FLPJF,3,Stayed,0,,
3648-GZPHF,5,Stayed,0,,
2896-TBNBE,3,Stayed,0,,
1872-EBWSC,4,Stayed,0,,
4124-MMETB,2,Churned,1,Competitor,Competitor offered higher download speeds
9242-TKFSV,4,Stayed,0,,
9508-ILZDG,4,Stayed,0,,
7483-IQWIB,4,Stayed,0,,
4013-GUXND,4,Joined,0,,
9708-KFDBY,4,Joined,0,,
3266-FTKHB,3,Stayed,0,,
6719-OXYBR,3,Stayed,0,,
3528-HFRIQ,5,Stayed,0,,
6838-HVLXG,3,Stayed,0,,
5955-ERIHD,1,Churned,1,Price,Long distance charges
1325-USMEC,3,Stayed,0,,
9121-PHQSR,4,Stayed,0,,
8819-IMISP,4,Stayed,0,,
4359-INNWN,4,Stayed,0,,
0260-ZDLGK,1,Churned,1,Competitor,Competitor made better offer
5248-RPYWW,3,Stayed,0,,
0621-TSSMU,5,Stayed,0,,
6402-ZFPPI,1,Churned,1,Price,Price too high
3858-XHYJO,4,Stayed,0,,
0983-TATYJ,3,Stayed,0,,
7206-GZCDC,2,Churned,1,Attitude,Attitude of support person
8740-CRYFY,2,Churned,1,Competitor,Competitor offered higher download speeds
3489-HHPFY,5,Joined,0,,
0343-QLUZP,3,Stayed,0,,
2087-QAREY,3,Stayed,0,,
5882-CMAZQ,5,Stayed,0,,
7567-ECMCM,4,Stayed,0,,
2324-AALNO,5,Stayed,0,,
0567-GGCAC,3,Stayed,0,,
3716-UVSPD,3,Joined,0,,
7153-CHRBV,3,Stayed,0,,
6368-NWMCE,3,Stayed,0,,
4826-DXMUP,4,Stayed,0,,
4238-HFHSN,3,Stayed,0,,
1231-YNDEK,5,Stayed,0,,
2520-SGTTA,4,Stayed,0,,
8168-UQWWF,3,Churned,1,Competitor,Competitor offered more data
4735-BJKOU,5,Stayed,0,,
2995-UPRYS,3,Churned,1,Other,Moved
6131-FOYAS,3,Stayed,0,,
7893-IXHRQ,2,Churned,1,Attitude,Attitude of service provider
8942-DBMHZ,5,Stayed,0,,
1602-IJQQE,1,Churned,1,Competitor,Competitor had better devices
9554-DFKIC,4,Stayed,0,,
2808-CHTDM,5,Stayed,0,,
6326-MTTXK,2,Churned,1,Attitude,Attitude of service provider
9801-NOSHQ,3,Stayed,0,,
5552-ZNFSJ,3,Churned,1,Other,Poor expertise of online support
6979-TNDEU,3,Stayed,0,,
0584-BJQGZ,4,Stayed,0,,
0114-RSRRW,4,Stayed,0,,
5804-LEPIM,3,Churned,1,Other,Don't know
6695-FRVEC,3,Stayed,0,,
2674-MLXMN,4,Stayed,0,,
9103-CXVOK,4,Joined,0,,
6650-VJONK,4,Joined,0,,
3372-CDXFJ,5,Stayed,0,,
